record - header - identifier,dc:contributor[@element=contributor][@qualifier=author],dc:date[@element=date][@qualifier=accessioned],dc:date[@element=date][@qualifier=available],dc:date[@element=date][@qualifier=issued],dc:identifier[@element=identifier][@qualifier=uri],dc:description[@element=description][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en],dc:description[@element=description][@qualifier=provenance][@language=en],dc:format[@element=format][@qualifier=extent],dc:format[@element=format][@qualifier=mimetype],dc:language[@element=language][@qualifier=iso],dc:subject[@element=subject][@language=en],dc:title[@element=title][@language=en],dc:type[@element=type][@language=en],dc:subject[@element=subject],dc:description[@element=description][@qualifier=sponsorship][@language=en],dc:language[@element=language][@qualifier=iso][@language=en],dc:description[@element=description][@qualifier=abstract][@language=en_US],dc:language[@element=language][@qualifier=iso][@language=en_US],dc:subject[@element=subject][@language=en_US],dc:title[@element=title][@language=en_US],dc:type[@element=type][@language=en_US],dc:description[@element=description][@language=en_US],dc:description[@element=description][@qualifier=sponsorship][@language=en_US],dc:description[@element=description],dc:relation[@element=relation][@qualifier=ispartofseries][@language=en_US],dc:title[@element=title][@qualifier=alternative][@language=en_US],dc:contributor[@element=contributor][@qualifier=author][@language=en_US],dc:date[@element=date][@qualifier=issued][@language=en_US],dc:contributor[@element=contributor][@qualifier=advisor],dc:contributor[@element=contributor][@qualifier=other],dc:description[@element=description][@qualifier=abstract],dc:publisher[@element=publisher][@language=en_US],dc:rights[@element=rights][@language=*],dc:rights[@element=rights][@qualifier=uri][@language=*],dc:contributor[@element=contributor][@qualifier=chair],dc:identifier[@element=identifier][@qualifier=doi],dc:identifier[@element=identifier][@qualifier=doi][@language=en_US],dc:description[@element=description][@qualifier=provenance]
oai:ecommons.cornell.edu:1813/3024,"Lowrance, Bryan",2006-05-17T20:40:21Z,2006-05-17T20:40:21Z,2006-04-17T20:40:21Z,http://hdl.handle.net/1813/3024,"An Honors Thesis Submitted to the Department of English.  April 2006
Winner of the Abrams Prize for the Best Senior Honors Thesis in English.","This thesis examines the exegetical, intellectual-historical, and theoretical implications of a particular feature of Philip Sidney?s late sixteenth-century sonnet sequence Astrophil and Stella:  its continual anxiety over authenticity ? a term I use to signal the ability of its fictional speaker (Astrophil) to find a language capable of conveying his internal cognitive and affective states.  Throughout Sidney?s sequence, Astrophil attempts to define an authentic lyrical language by both criticizing other poets and asserting a formal agenda for his own texts.  His texts, however, continually contradict in practice what is demanded of them in theory so that the sequence shows an underlying pessimism summed up in Sonnet 35?s question: ?What may words say, or what may words not say, / Where Truth itself must speake like Flatterie?? (my emphasis).
This paradox and the pessimism it produces, I argue, can be understood by situating Sidney?s sequence in a rift between two conceptual frameworks for understanding relations between subjectivity, language, and the material world.  In one framework (dominant in western medieval Christendom), cognition, language, and material things were seen as ontologically homogenous ? part of the same sublunary, postlapsarian material stratum.  But in another framework ? emerging in the sixteenth century and that would become dominant in western European modernity ? human subjects and their languages were seen as detached from the material world.   Sidney?s sequence, I suggest, is stuck between these two ideological polarities.  It wants to enact an authenticity that would become possible under the conceptual regime of modernity, where language is imbricated in the immaterial cognitive circuitry of sovereign, Cartesian subjects, and where it thus becomes capable of conveying the authenticity attributed to in modern ideologies of the aesthetic.  However, Sidney is caught in the conceptual space of an older model of language:  one that sees it as something thingly, ontologically homogenous with the material world.  
My first chapter introduces ? somewhat lengthily ? the problem of authenticity in Astrophil and Stella.  It develops some of the intellectual-historical horizons I want to situate the sequence in and introduces the main textual feature I want to follow:  Sidney?s tendency, in attempting to establish the authenticity of his own poetry, to criticize other poets for their lack of authenticity vis-?-vis a resemblance between their poetic practices and commercial and economic practices.  My second chapter both turns to the contemporary critical landscape of early modern studies and provides further elaboration of my positioning of Sidney in the ambiguities of early modern concepts of subjectivity, language, and materiality.  After this lengthy prefatory, I move on, in my third chapter, to read Astrophil and Stella, focusing particularly on Sidney?s use of the word ?strange? ? a term that particularly points to the rift I want to chart in the sequence.  My fourth chapter concludes with a methodological question:  how do the points I have made about the difference between modern and early modern ontologies of language, materiality, and subjectivity effect the contemporary critical landscape of early modern literary studies.  Particularly, I pursue the question of whether or not a return to formalism and aestheticism (increasingly called for in protest to the dominance of cultural studies in literary interpretation) has a trans-historical exegetical validity.  In conclusion, I suggest that the assumptions on which such a return to the literary would stand become deeply problematic outside of the modern era.","Made available in DSpace on 2006-05-17T20:40:21Z (GMT). No. of bitstreams: 1
BryanLowranceThesis.pdf: 332093 bytes, checksum: aa9e2861fddf6148b34395d809f995d4 (MD5)",332093 bytes,application/pdf,en_US,Formalism,"Sidney's Strangers: Language, Materiality, and Authenticity in Astrophil and Stella",Dissertation or Thesis,,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/3077,"St. Aubin, Adrienne Michelle",2006-05-30T13:47:09Z,2006-05-30T13:47:09Z,2006-05-30T13:47:09Z,http://hdl.handle.net/1813/3077,"An Honors Thesis Submitted to the Department of English, Cornell University, April 2006. Winner of the Abrams Prize for the Best Senior Honors Thesis in English.","This thesis examines Virginia Woolf?s 1923 novel Jacob?s Room as a transmission of what Woolf in her unfinished memoir refers to as ?shocks.?  In A Sketch of the Past, Woolf describes the experience of these shocks and her immediate desire to explain them, presenting writing as a reparative activity that imparts meaning to the apparently senseless and alleviates pain by creating wholeness out of fragmentation.  She illustrates this concept by providing three examples from her own childhood, each of which offers a very different model of experience.  In this thesis I relate these shocks to the structure of Jacob?s Room and a number of strangely digressive and open-ended passages within it, proposing that the novel actually resists Woolf's own model of reparative writing and does not process shocks into wholes for the reader so much as transmit them to her.","Made available in DSpace on 2006-05-30T13:47:09Z (GMT). No. of bitstreams: 1
StAubinThesis.pdf: 243382 bytes, checksum: 3e6b845327e3dbe0f924533e6d415fd5 (MD5)",243382 bytes,application/pdf,en_US,synecdoche,Reading Jacob's Room as a Transmission of Shocks,Dissertation or Thesis,British Modernism,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/3130,"Agarwal, Anshu",2006-06-05T16:40:31Z,2006-06-05T16:40:31Z,2006-05-03,http://hdl.handle.net/1813/3130,,"Proper lumbar support is a necessary and fundamental requirement for any well-designed chair. Objective techniques to assess chair comfort necessitate the use of a sensing layer that may change the fundamental characteristics of the chair itself depending on its structure and materials. Other methods have attached equipment to subjects, which may influence their normal sitting behavior. In this study, I utilize new 3D body scanning technology to examine the person-chair interaction in flexible, material back chairs without adding anything to either the chair or the subject. I attempt to develop a new objective measure, volumetric deformation, which assesses the reaction of a flexible, material chair back to a seated user. In addition, this study aims to understand the relationships between perceived chair back comfort, objective volumetric deformation, subject anthropometric attributes, and ratings of perceived chair attribute comfort. Total chair back deformation is found to be significantly related to some subject anthropometric attributes, which provides further evidence that deformation is a useful objective measure for assessment of the chair back. Perceived overall back comfort is significantly associated to the perceived comfort of the lumbar support but not to any of the anthropometric measurements taken. The relationship between chair back deformation and pressure distribution should be explored in future studies.","Made available in DSpace on 2006-06-05T16:40:31Z (GMT). No. of bitstreams: 1
ANSHU HONORS THESIS.pdf: 1742044 bytes, checksum: 30fd97ba99c2af4ca087614579b7c7f7 (MD5)",1742044 bytes,application/pdf,en_US,anthropometric measurements,Volumetric Deformation: A New Objective Measure to Study Chair Comfort Using 3D Body Scanning Technology,Dissertation or Thesis,,"Professor Alan Hedge, Faculty Advisor",,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/3579,"Kooi, Adeline Min Fen",2006-10-07T17:22:42Z,2006-10-07T17:22:42Z,2006-10-07T17:22:42Z,http://hdl.handle.net/1813/3579,,"In the last several decades, there has been a shift away from the central planning model in America. Reactions from the grassroots have emerged as citizens strive to address urban needs independently of planning bodies. However, many would argue that this is not the answer either.

<br>Planning at the level of urban administration currently coexists in tension with planning at the grassroots level. Planning from the top is attempting to be more attentive to needs in the neighborhoods, as citizens have begun to acquire the energy and resources to lobby for change. Oftentimes, government-grassroots partnerships are forged to exploit the capacities of both entities in planning endeavors. However, this leads to the question of how this tension creates opportunities for improvements of social conditions, whether it contributes to the larger vision of enlarging the political capacity of a society, and which is the appropriate body to make a plan and implement it.

<br>A government-grassroots partnership was attempted in the City of Rochester, through the Neighbors Building Neighborhoods (NBN) program. The year 2006 marks the 13th year of the program. After 13 years of negotiations, consultation, community meetings, conflict, and lobbying, numerous milestones have been achieved. Through NBN, hundreds of neighborhood projects have come to fruition, while many others have broken ground. These projects include physical improvements, beautification projects, the construction of new schools and stores, better public services, and increased public safety measures. NBN also received awards for its successful neighborhood revitalization efforts, and is recognized as a model of best practices.

<br>Many people in Rochester are happy with the achievements made through NBN. However, some believe that the process can be further modified for greater success. The recent election of a new mayor into the Rochester City administration has resulted in some uncertainty in the future of NBN ? will the process continue as it, be modified, or go down in history as a pet project of the previous administration?
This thesis examines the NBN process to:
1. document the NBN process in Rochester an example of government-initiated grassroots-planning action that other city planning organizations can refer to;
2. place the era of NBN in the context of Rochester's history as a city of citizen action; and
3. explore NBN as Rochester's solution to the problem of the appropriate bodies to make a plan and implement it.","Made available in DSpace on 2006-10-07T17:22:42Z (GMT). No. of bitstreams: 1
Honors Thesis - Adeline Kooi.pdf: 1292861 bytes, checksum: 8eab1ebf6a9c9b965c0a74ee67f3f21a (MD5)",1292861 bytes,application/pdf,,Participatory Planning,Neighbors Building Neighborhoods: A Critical Look at Citizen Participation in Rochester,Dissertation or Thesis,,"Cornell Department of City and Regional Planning - Kermit C. Parsons and Janice I. Parsons Scholarship ; 
Housing Development Board (Singapore) / Economic Development Board (Singapore) - Singapore Inc. Scholarship",en_US,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7597,"Patel, Jay",2007-05-15T07:39:14Z,2007-05-15T07:39:14Z,2007-05-15T07:39:14Z,http://hdl.handle.net/1813/7597,,"This study seeks to investigate the effects of emotion on false memory production.  114 
undergraduate college students participated in the study.  Subjects were given an emotion 
induction task that induced positive, negative, or neutral moods by rating person descriptive 
words taken from the Dumas norms.  Each subject was then asked to listen to lists of study 
words taken from the Deese-Roediger-McDermott paradigm and was then given an immediate 
recognition memory test.  One week later, subjects were given a delayed recognition memory test to measure the degree of forgetting.  Results indicate that on the immediate test, although 
there were no differences observed across emotion conditions for true memory, participants in 
the negative emotion condition were more prone to produce false memories than those in the 
positive or neutral conditions.  In addition, there was no main effect of emotion for the 
immediate test, but there was one for the delayed memory test.  It was found that acceptance 
rates of both targets and critical distractors decreased for participants in the negative emotion 
condition relative to positive and neutral conditions.  It was also found that one could inoculate the effects of forgetting on a delayed memory test by giving subjects a prior memory test.","Made available in DSpace on 2007-05-15T07:39:14Z (GMT). No. of bitstreams: 1
Jay Patel HD Honors Thesis.pdf: 981444 bytes, checksum: 628ae5a6e0081e3fd695297033d8400c (MD5)",981444 bytes,application/pdf,en_US,Emotion Memory,The Effects of Emotion on False Memory Production,,,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7612,"Solis, Jessica",2007-05-21T13:33:04Z,2007-05-21T13:33:04Z,2007-05-21T13:33:04Z,http://hdl.handle.net/1813/7612,,"Adolescents (N=6,504) from the National Longitudinal Study of Adolescent Health participated in a study exploring racial differences in access to resources against depression. Significant results indicated Black adolescents? advantage on perceived adult and family support, perceived intelligence, self-esteem, active coping skills, and college expectations; Hispanics were advantaged in maternal relationships. White adolescents? resources were parents? education, two biological parent households, two parent households, perceived peer support, and survival expectations. Hispanic and Black adolescents were more likely to be on welfare with the former also suffering through unemployment and the latter living with a single mother. Whites were most likely to live with a single father. Future research should investigate the interactions? potency and apply it to treatment of adolescent depression.","Made available in DSpace on 2007-05-21T13:33:04Z (GMT). No. of bitstreams: 1
Final Draft.doc: 303616 bytes, checksum: 0b3d297eeb0cda4fd9dcb29e71a2f429 (MD5)",303616 bytes,application/msword,en_US,protective factors,The Effects of Ethnicity on Adolescent Resilience against Depression,,,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7613,"Rush, Kimberly",2007-05-21T17:25:45Z,2007-05-21T17:25:45Z,2007-05,http://hdl.handle.net/1813/7613,,,"Made available in DSpace on 2007-05-21T17:25:45Z (GMT). No. of bitstreams: 1
Rush, Thesis Final 2007: 398848 bytes, checksum: 6e5cde2f1b1eee3fb6dc60358f4e3b08 (MD5)
  Previous issue date: 2007-05",398848 bytes,application/msword,,Causal Reasoning,Spontaneous Generation of Alternative Explanations,Paper or Project,,"Cornell University College of Human Ecology
Human Development",en,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7614,"Stanisz, Janine",2007-05-22T13:20:45Z,2007-05-22T13:20:45Z,2007-05-22T13:20:45Z,http://hdl.handle.net/1813/7614,,"We examined the choices of 52 adolescents (18 years of age); 26 were enrolled in an alternative to incarceration program and 26 were university undergraduates.  Respondents were presented with a gambling task and were shown two spinners, one offering a sure gain (or loss), the second offering a gamble (probabilities of the gamble included ?, 1/3 and ?; magnitudes of the gamble included low, medium and high monetary amounts).  Participants received 18 trials, nine framed as gains and nine framed as losses (each gain condition was analogous to a loss condition) and individuals were asked to report their confidence after each scenario.  In the gain frame, respondents began with nothing and were offered a choice between a sure gain and a gamble offering the possibility of winning larger amounts or winning nothing.  For the loss frame, individuals were given an endowment and could lose an amount for sure or take a chance and risk losing nothing or risk losing everything.  In each corresponding gain and loss pair, the net sum that could be won was kept equal.  In addition, respondents completed surveys on sensation seeking, behavioral inhibition and behavioral activation.  
Data analysis was conducted both without and with the confidence ratings.  In both regressions, delinquents scored significantly higher on sensation seeking in the gain frame, but not in the loss frame.  In the first ANOVA, magnitude was a significant effect as was the interaction between magnitude and the population of the participant.  Delinquents were more likely to choose the gamble regardless of the magnitude, while undergraduates picked the sure option at higher magnitudes.  Also, a three way interaction was found between framing, probability and magnitude.  The second ANOVA, replicated these findings and probability became a significant effect.  Such results highlight the potential benefit of programs that work to enhance decision-making processes in order to prevent initial crime or potential recidivism.","Made available in DSpace on 2007-05-22T13:20:45Z (GMT). No. of bitstreams: 1
Janine Stanisz Thesis- Juvenile Offenders' Risky Decision Making Behavior.doc: 563712 bytes, checksum: 061cbb8b97f6220c6759d6e3dc5bf41c (MD5)",563712 bytes,application/msword,,Decision-Making,Juvenile Offenders' Risky Decision-Making Behavior,Dissertation or Thesis,,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7616,"Vollmer, Laura",2007-05-23T22:08:54Z,2007-05-23T22:08:54Z,2007-05-23T22:08:54Z,http://hdl.handle.net/1813/7616,,"The present study sought to discover the age at which infants realize that their vocalizations may be used to elicit social responses from others, and to examine whether infants? knowledge of the consequences of their babbling is related to their primary caregivers? natural levels of responsiveness.  Participants were 27 caregiver-infant dyads from the Ithaca, NY area. Infants were 2 and 5 months of age. Infants participated in an unstructured play session with their caregivers, followed by a still-face interaction with an unfamiliar experimenter who initially engaged the infants, and then became quiet and assumed a neutral expression. Five-month-olds exhibited a significant increase in the quantity of non-cry vocalizations from the first interaction period to the still-face, thus demonstrating that they have learned that their vocalizations have an effect on others. Two-month-olds did not show a significant change in the quantity of vocalizations. No significant relationship was found between caregiver responsiveness and infants' vocal behavior across the still face.","Made available in DSpace on 2007-05-23T22:08:54Z (GMT). No. of bitstreams: 1
Laura Final Thesis.pdf: 662115 bytes, checksum: b0a28dc0f9c50cc82482f566797b7a70 (MD5)",662115 bytes,application/pdf,en_US,Babbling,Developmental Changes in Infants' Knowledge of the Instrumental Value of Babbling,,,,,,,,,,,,,,,,,,,,,,,,,,
oai:ecommons.cornell.edu:1813/7617,"Neuendorf, Cynthia Lauren",2007-05-23T23:50:20Z,2007-05-23T23:50:20Z,2007-05-23T23:50:20Z,http://hdl.handle.net/1813/7617,,"The environment of poverty has been implicated as a major risk factor for later childhood adjustment and achievement. The present study examined the effect of exposure to poverty at age 8 on coping at age 13 using measures of coping and family income-to-needs ratio. Additionally, temperament at age 8 was examined as a potential moderator of the relationship between poverty and adolescent coping. The study hypothesized that exposure to poverty at age 8 would predict adolescent?s use of disengagement coping strategies (e.g., avoidance, distraction, or inaction). Temperament was predicted to moderate the relationship between poverty and disengagement coping strategies. Results of regression analyses indicated that exposure to poverty at age 8 predicted adolescent inaction in response to stress. Furthermore, the relationship between poverty status at age 8 and distraction at age 13 was moderated by temperament (age 8).","Made available in DSpace on 2007-05-23T23:50:20Z (GMT). No. of bitstreams: 1
Neuendorf_Thesis.doc: 126976 bytes, checksum: 6a24460d280c020fb321baac9e67045a (MD5)",126976 bytes,application/msword,,coping,Development of Coping in Low- and Mid-Income Youth,Dissertation or Thesis,,,en_US,,,,,,,,,,,,,,,,,,,,,,
